study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	base_count	experiment_title	study_title	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_galaxy	sample_alias	sample_title
PRJEB4352	SAMEA2656965	ERS488900	ERX1771177	ERR1700889	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	176898786	33896613672	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_AHSAOSF_4_D0C2CACXX.IND4	run_AHX_AHSAOSF_4_D0C2CACXX.IND4	13083739440;13128272336	1128f859c4c1eb9560f556b6746e2d89;e1656527456dba656da8ca5d5f85e3cf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700889/ERR1700889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700889/ERR1700889_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AHSAOSF_4_1_D0C2CACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AHSAOSF_4_2_D0C2CACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AHSAOSF_4_1_D0C2CACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AHSAOSF_4_2_D0C2CACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/009/ERR1700889	ftp.sra.ebi.ac.uk/vol1/err/ERR170/009/ERR1700889		TARA_N000000013	TARA_20100318T0820Z_039_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000013
PRJEB4352	SAMEA2620205	ERS489054	ERX1771189	ERR1700890	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	167352614	32128397331	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_AIGAOSF_6_D0AG7ACXX.IND1	run_AHX_AIGAOSF_6_D0AG7ACXX.IND1	13880333753;13414131435	b7288f87c169d64a5eb9a6efd3614d34;ffc31197d34baeb84257d73a9315d64a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700890/ERR1700890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700890/ERR1700890_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AIGAOSF_6_1_D0AG7ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AIGAOSF_6_2_D0AG7ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AIGAOSF_6_1_D0AG7ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AIGAOSF_6_2_D0AG7ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/000/ERR1700890	ftp.sra.ebi.ac.uk/vol1/err/ERR170/000/ERR1700890		TARA_N000000073	TARA_20100330T0247Z_041_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000073
PRJEB4352	SAMEA2623506	ERS493999	ERX1771187	ERR1700891	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	150389878	29779037473	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_CAIAOSF_4_D2APAACXX.IND13	run_AHX_CAIAOSF_4_D2APAACXX.IND13	11118182425;11233871755	0954d145dcbaa827f73d50596f098944;cc341c3def79dbe4751c6deeb4782d65	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700891/ERR1700891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/001/ERR1700891/ERR1700891_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CAIAOSF_4_1_D2APAACXX.IND13_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CAIAOSF_4_2_D2APAACXX.IND13_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CAIAOSF_4_1_D2APAACXX.IND13_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CAIAOSF_4_2_D2APAACXX.IND13_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/001/ERR1700891	ftp.sra.ebi.ac.uk/vol1/err/ERR170/001/ERR1700891		TARA_N000003102	TARA_20120109T2019Z_142_Combined-EVENTS_CAST_MB_D_(125 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000003102
PRJEB4352	SAMEA2620172	ERS489013	ERX1771191	ERR1700892	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	170160437	33497100656	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_AICAOSF_7_D0C2CACXX.IND10	run_AHX_AICAOSF_7_D0C2CACXX.IND10	12761032559;12696256823	6159c17700031fc25bf36e7994cc6d2c;4409f317169214ff19598b7cf0ee138b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700892/ERR1700892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/002/ERR1700892/ERR1700892_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AICAOSF_7_1_D0C2CACXX.IND10_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AICAOSF_7_2_D0C2CACXX.IND10_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AICAOSF_7_1_D0C2CACXX.IND10_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_AICAOSF_7_2_D0C2CACXX.IND10_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/002/ERR1700892	ftp.sra.ebi.ac.uk/vol1/err/ERR170/002/ERR1700892		TARA_N000000067	TARA_20100322T1313Z_040_EVENT_CAST_B6_Z_(105 m)_PROT_NUC-RNA(100L)_W3->_TARA_N000000067
PRJEB4352	SAMEA2730950	ERS494049	ERX1771202	ERR1700893	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	210012421	41413011314	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_CBFAOSF_4_C1KG9ACXX.IND21	run_AHX_CBFAOSF_4_C1KG9ACXX.IND21	17227492908;17208951754	5e61e4faea05fcff35039cae4d165ebe;b517db800f054eee8873225a302f71ce	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700893/ERR1700893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/003/ERR1700893/ERR1700893_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CBFAOSF_4_1_C1KG9ACXX.IND21_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CBFAOSF_4_2_C1KG9ACXX.IND21_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CBFAOSF_4_1_C1KG9ACXX.IND21_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CBFAOSF_4_2_C1KG9ACXX.IND21_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/003/ERR1700893	ftp.sra.ebi.ac.uk/vol1/err/ERR170/003/ERR1700893		TARA_N000003139	TARA_20120116T1649Z_143_EVENT_NET_N1_S_(5 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000003139
PRJEB4352	SAMEA2619554	ERS488153	ERX1771192	ERR1700894	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	175101104	34414500981	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_BLKAOSF_4_D11W5ACXX.IND6	run_AHX_BLKAOSF_4_D11W5ACXX.IND6	10750178998;10904423914	40993e1f6edb0323c7180d49431417d4;d892536bf5a421cf0e11e9e2e529c734	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700894/ERR1700894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/004/ERR1700894/ERR1700894_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_BLKAOSF_4_1_D11W5ACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_BLKAOSF_4_2_D11W5ACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_BLKAOSF_4_1_D11W5ACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_BLKAOSF_4_2_D11W5ACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/004/ERR1700894	ftp.sra.ebi.ac.uk/vol1/err/ERR170/004/ERR1700894		TARA_X000001043	TARA_20090928T1659Z_009_EVENT_PUMP_P_D_(55 m)_PROT_NUC-DNA(1L)_W5-20_TARA_X000001043
PRJEB4352	SAMEA2619623	ERS488251	ERX1771178	ERR1700895	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	183487302	33923509731	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_ACVAOSF_7_D0YF2ACXX.IND3	run_AHX_ACVAOSF_7_D0YF2ACXX.IND3	14534433202;14722157975	4299a9269b45bf4071863943ada70b02;a0275152fc77a47ce8725ff4942dee0f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700895/ERR1700895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/005/ERR1700895/ERR1700895_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ACVAOSF_7_1_D0YF2ACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ACVAOSF_7_2_D0YF2ACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ACVAOSF_7_1_D0YF2ACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ACVAOSF_7_2_D0YF2ACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/005/ERR1700895	ftp.sra.ebi.ac.uk/vol1/err/ERR170/005/ERR1700895		TARA_X000001286	TARA_20091004T0830Z_011_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_X000001286
PRJEB4352	SAMEA2619725	ERS488412	ERX1771195	ERR1700896	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	185005867	36278766491	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_ADSAOSF_6_D0YLGACXX.IND5	run_AHX_ADSAOSF_6_D0YLGACXX.IND5	15069433629;15075906204	b864781d2295f6493ba568c4cc8d0c23;224be94ddd61cb351e6f45f10278e467	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700896/ERR1700896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/006/ERR1700896/ERR1700896_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ADSAOSF_6_1_D0YLGACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ADSAOSF_6_2_D0YLGACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ADSAOSF_6_1_D0YLGACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ADSAOSF_6_2_D0YLGACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/006/ERR1700896	ftp.sra.ebi.ac.uk/vol1/err/ERR170/006/ERR1700896		TARA_A100000761	TARA_20091112T1409Z_020_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_A100000761
PRJEB4352	SAMEA2622039	ERS491758	ERX1771199	ERR1700897	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	79824264	15723274272	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_ARCAOSF_3_D11U4ACXX.IND6	run_AHX_ARCAOSF_3_D11U4ACXX.IND6	6213592641;6280846345	b1bb35b46f2af4f0334b0e7108456355;d08eebd0ee3513bd2d6395c24cc07fcf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700897/ERR1700897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/007/ERR1700897/ERR1700897_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ARCAOSF_3_1_D11U4ACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ARCAOSF_3_2_D11U4ACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ARCAOSF_3_1_D11U4ACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_ARCAOSF_3_2_D11U4ACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/007/ERR1700897	ftp.sra.ebi.ac.uk/vol1/err/ERR170/007/ERR1700897		TARA_N000001580	TARA_20110403T2150Z_098_Combined-EVENTS_CAST_MB_D_(188 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000001580
PRJEB4352	SAMEA2621474	ERS490981	ERX1771201	ERR1700898	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	193798384	38847200157	Illumina HiSeq 2000 paired end sequencing; environmental samples	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_CICAOSF_7_D2GD8ACXX.IND1	run_AHX_CICAOSF_7_D2GD8ACXX.IND1	16568448739;16416432813	a55135a2d28ee3f880a1a276b7744dbe;fa6c75a6e029a6060f6c04239557a778	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700898/ERR1700898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/008/ERR1700898/ERR1700898_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CICAOSF_7_1_D2GD8ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CICAOSF_7_2_D2GD8ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CICAOSF_7_1_D2GD8ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA739/ERA739834/fastq/AHX_CICAOSF_7_2_D2GD8ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/008/ERR1700898	ftp.sra.ebi.ac.uk/vol1/err/ERR170/008/ERR1700898		TARA_N000001376	TARA_20101216T1158Z_083_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000001376
