study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	base_count	experiment_title	study_title	run_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_galaxy	sample_alias	sample_title
PRJEB6609	SAMEA2621263	ERS490668	ERX1086442	ERR1007415	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	18297963	3548824468	Illumina HiSeq 2000 paired end sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_AWI_AIAOSW_7_C7CAKACXX.IND5	1446369883;1484408942	aedb9b0473a1150a01324d3f253cf91c;71825d7ea0f922c6fda0258fa1d2cdf8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR1007415/ERR1007415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR1007415/ERR1007415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIAOSW_7_1_C7CAKACXX.IND5_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIAOSW_7_2_C7CAKACXX.IND5_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIAOSW_7_1_C7CAKACXX.IND5_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIAOSW_7_2_C7CAKACXX.IND5_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/005/ERR1007415	ftp.sra.ebi.ac.uk/vol1/err/ERR100/005/ERR1007415		TARA_N000000616	TARA_20101104T1004Z_078_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000000616
PRJEB6609	SAMEA2621208	ERS490552	ERX1086441	ERR1007416	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	14699334	2825289939	Illumina HiSeq 2000 paired end sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_AWI_AKEOSW_7_C7CAKACXX.IND8	1148269952;1179874063	b4b14433aceec96ed9ea89aac4576784;078cba2b9f56b6259cae8ecb0343e6d1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1007416/ERR1007416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1007416/ERR1007416_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AKEOSW_7_1_C7CAKACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AKEOSW_7_2_C7CAKACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AKEOSW_7_1_C7CAKACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AKEOSW_7_2_C7CAKACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1007416	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1007416		TARA_N000000852	TARA_20101016T0955Z_076_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000000852
PRJEB6609	SAMEA2621280	ERS490699	ERX1086440	ERR1007417	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	25788245	5013736157	Illumina HiSeq 2000 paired end sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_AWI_AIGOSW_7_C7CAKACXX.IND6	2071132697;2131158327	80807c699a63a8928f63cea01015bed4;ce14ed9182a2505fd13eabbbc4c4a966	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1007417/ERR1007417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1007417/ERR1007417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIGOSW_7_1_C7CAKACXX.IND6_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIGOSW_7_2_C7CAKACXX.IND6_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIGOSW_7_1_C7CAKACXX.IND6_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIGOSW_7_2_C7CAKACXX.IND6_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/007/ERR1007417	ftp.sra.ebi.ac.uk/vol1/err/ERR100/007/ERR1007417		TARA_N000000618	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_MB_D_(120 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000000618
PRJEB6609	SAMEA2621225	ERS490606	ERX1086439	ERR1007418	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	24620673	4781286503	Illumina HiSeq 2000 paired end sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_AWI_AIPOSW_7_C7CAKACXX.IND7	1929073175;1990635465	7e3346daadaae2cb29ddce788ed4990b;92c6917acfeae7b3086b57fdbd85d035	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/008/ERR1007418/ERR1007418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/008/ERR1007418/ERR1007418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIPOSW_7_1_C7CAKACXX.IND7_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIPOSW_7_2_C7CAKACXX.IND7_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIPOSW_7_1_C7CAKACXX.IND7_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIPOSW_7_2_C7CAKACXX.IND7_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/008/ERR1007418	ftp.sra.ebi.ac.uk/vol1/err/ERR100/008/ERR1007418		TARA_N000000920	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_MB_D_(150 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000000920
PRJEB6609	SAMEA2657029	ERS490687	ERX1092408	ERR1013384	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	44019090	7387703477	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AHTAOSW_8_C0URDACXX.IND8	3137402979;2768122426	9c2ad8cf1b466956c38742ac11cd7d35;bb14b74106ca4e80686af1f497648fcf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013384/ERR1013384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013384/ERR1013384_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_8_1_C0URDACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_8_2_C0URDACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_8_1_C0URDACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_8_2_C0URDACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/004/ERR1013384	ftp.sra.ebi.ac.uk/vol1/err/ERR101/004/ERR1013384		TARA_N000000625	TARA_20101104T1424Z_078_EVENT_NET_N1_S_(5 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000000625
PRJEB6609	SAMEA2657029	ERS490687	ERX1092409	ERR1013385	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	107689210	17853986443	Illumina HiSeq 2000 paired end sequencing; Marine metagenome.	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AHTAOSW_1_C18R8ACXX.IND8	7881075457;6873614900	d63bdf2f36c7407459091f2d19bc45da;dc7d69be79b19fc7eeaa1e214fca5a69	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013385/ERR1013385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013385/ERR1013385_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_1_1_C18R8ACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_1_2_C18R8ACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_1_1_C18R8ACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_1_2_C18R8ACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/005/ERR1013385	ftp.sra.ebi.ac.uk/vol1/err/ERR101/005/ERR1013385		TARA_N000000625	TARA_20101104T1424Z_078_EVENT_NET_N1_S_(5 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000000625
PRJEB6609	SAMEA2656955	ERS488262	ERX1782096	ERR1711860	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	135095608	24269002384	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_ATLAOSW_8_D2GDMACXX.IND12	10677141317;10274848412	50cbcb84406bda42df306bc9b2dd052f;b04284e98c4c7e75ba916ae68d1a1209	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711860/ERR1711860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711860/ERR1711860_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ATLAOSW_8_1_D2GDMACXX.IND12_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ATLAOSW_8_2_D2GDMACXX.IND12_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ATLAOSW_8_1_D2GDMACXX.IND12_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ATLAOSW_8_2_D2GDMACXX.IND12_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711860	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711860		TARA_X000001338	TARA_20091004T1530Z_011_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_X000001338
PRJEB6609	SAMEA2620089	ERS488924	ERX1782399	ERR1711861	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	38432825	6825456889	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_ALFAOSW_4_D11YVACXX.IND1	3016040176;2659166015	a7974a857e6d1a6ad1845eeab74c92e6;c78f3702dc035ff670a9c89ea0b9b1e7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711861/ERR1711861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711861/ERR1711861_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALFAOSW_4_1_D11YVACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALFAOSW_4_2_D11YVACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALFAOSW_4_1_D11YVACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALFAOSW_4_2_D11YVACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711861	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711861		TARA_N000000007	TARA_20100318T1133Z_039_EVENT_PUMP_P_D_(25 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000000007
PRJEB6609	SAMEA2622232	ERS492025	ERX1782380	ERR1711862	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	154012088	27110228387	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AMMAOSW_2_C2AVGACXX.IND3	13041124090;11585120906	44058b724bb6442bc0084b7909815c5d;ae282bda87c197e9b3252fd3ca726f49	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711862/ERR1711862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711862/ERR1711862_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMMAOSW_2_1_C2AVGACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMMAOSW_2_2_C2AVGACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMMAOSW_2_1_C2AVGACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMMAOSW_2_2_C2AVGACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711862	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711862		TARA_N000001656	TARA_20110422T2113Z_102_EVENT_PUMP_P_D_(40 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000001656
PRJEB6609	SAMEA2657102	ERS490712	ERX1782264	ERR1711863	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	45195154	7977540804	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AIEAOSW_2_D11YVACXX.IND1	3529117192;3221602974	81c3a110944a9da078ff609a787f6d0e;7ee14d4e2a64c6d74cdb8f2577860bba	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711863/ERR1711863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711863/ERR1711863_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AIEAOSW_2_1_D11YVACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AIEAOSW_2_2_D11YVACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AIEAOSW_2_1_D11YVACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AIEAOSW_2_2_D11YVACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711863	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711863		TARA_N000001512	TARA_20101104T2013Z_078_EVENT_NET_N1+N2_D_(120 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000001512
