	study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	base_count	experiment_title	study_title	run_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_galaxy	sample_alias	sample_title	Sample ID (registered at the BioSamples ...)	Sample ID (registered at the European Nu...)	Basis	Campaign	Station	Device	Event	Date/Time	Latitude	Longitude	Env feature	Depth, nominal	Depth top [m]	Depth bot [m]	Fraction lower [µm]	Fraction upper [µm]	Sample material	Sample method	Sample label	MP biome	OS region	BG province	Sea ice conc [%]	Sea ice free period start DOY [day]	Sea Ice free period [days]	Sea ice free period end DOY [day]	Season (at the sampling location)	Season (timing at sampling location)	Moon phase nominal	Moon phase proportion	Time of day	SSD [min]	PAR day [mol quanta/m**2/day] (at the sampling location and ...)	PAR day [mol quanta/m**2/day] (calculated from AMODIS produc...)	PAR day [mol quanta/m**2/day] (Calculated from GlobColour pr...)	PAR day [mol quanta/m**2/day] (at the sampling location for ...)	SST grad h [°C/100 km] (calculated from AMODIS products)	Fe tot [µmol/l]	Fe std dev [±]	[NH4]+ [µmol/l]	[NH4]+ std dev [±]	[NO2]- [µmol/l]	[NO2]- std dev [±]	[NO3]- [µmol/l]	NO3 std dev [±]	SSfCDOM [ppb (QSE)]	SSChla [mg/m**3]	Chl a conc [mg/m**2]	Ssphi sat [%]	NPP C [mg/m**2/day] (Calculated using the Arctic-a...)	NPP C [mg/m**2/day] (calculated from VGPM products)	TSS [mg/l]	POC [µg/kg]	PIC [mol/m**3]	Bathy depth [m]	Latitude (of the closest geographic coo...)	Longitude (of the closest geographic coo...)	Distance [km]	SST grad h [°C/100 km] (at the sampling location and ...)	SSM index [1/s**2]	u [cm/s]	v [cm/s]	OW	MLE [1/day]	RT [days]	Latitude (of the continental shelf with...)	Longitude (of the continental shelf with...)	Age [days]	Latitude (of the geographic coordinate ...)	Longitude (of the geographic coordinate ...)
831	PRJEB6609	SAMEA2591117	ERS478026	ERX509599	ERR550511	408172	marine metagenome	454 GS FLX Titanium	SINGLE	16911	6749336	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_7.GAC.ARD_AAIOTS_GN5CEEB07	4184375	a031063c2107572cccd958c612618147	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550511/ERR550511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAIOTS_GN5CEEB07.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAIOTS_GN5CEEB07.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550511	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550511		TARA_A100001639	TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_A100001639	SAMEA2591117	ERS478026	SV Tara	TARA_20091214Z	TARA_030	High Volume Peristaltic Pump	TARA_20091215T1041Z_030_EVENT_PUMP	2009-12-15T10:41	33.9179	32.898	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5.00	TARA_030_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20091215T1041Z_030_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_A100001639	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	late	descending	0.01	day	595	23.949686	16.531906	15.0594763755798	19.247953	20.266435	0.001388157	3e-09	0.003270233	0.00015937200000000002	0.034886073	0.002192435	0.054155687	0.013007748000000001		0.0782722160220146	15.6134	1.6239738430000001		288.505	0.165894359350204	36.4045867919922	3.8366953049262e-05	-1497.0	34.5667	32.9974	72.8349	0.24369000000000002	2.685e-06	0.659967	7.476779	-0.30954899999999996	0.097233	2.777778	33.301831	31.795508	96	32.405221000000004	33.71975
832	PRJEB6609	SAMEA2624978	ERS478037	ERX509592	ERR550512	408172	marine metagenome	454 GS FLX Titanium	SINGLE	22731	8591289	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_4.GAC.ARD_AAMOTS_GO0SMIX04	5013101	18e1c45c745858035718729a3fdd0f77	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550512/ERR550512.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAMOTS_GO0SMIX04.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAMOTS_GO0SMIX04.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550512	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550512		TARA_A100001649	TARA_20091215T1244Z_030_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100001649	SAMEA2624978	ERS478037	SV Tara	TARA_20091214Z	TARA_030	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	TARA_20091215T1244Z_030_EVENT_NET	2009-12-15T12:44	33.9184	32.86	[SRF] surface water layer (ENVO:00010504)	5	3	7	180.0	2000.00	TARA_030_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20091215T1244Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_A100001649	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	late	descending	0.01	day	595	23.949686	16.531906	15.4028697013855	19.247953	20.266435	0.001388157	3e-09	0.003270233	0.00015937200000000002	0.034886073	0.002192435	0.054155687	0.013007748000000001		0.0823292136192322	17.3203	1.6239738430000001		288.505	0.160951308906078	37.4796714782715	0.00019103868817183	-1452.0	34.5667	32.9974	73.67	0.2747	2.95e-06	0.659967	7.476779	-0.30954899999999996	0.097233	2.777778	33.301831	31.795508	96	32.405221000000004	33.71975
833	PRJEB6609	SAMEA2624976	ERS478011	ERX509600	ERR550513	408172	marine metagenome	454 GS FLX Titanium	SINGLE	24010	10159543	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_3.GAC.ARD_AAGOTS_GN5CEEB03	5808485	cedf75e7ab73bb37bdab95db0bef6dd8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550513/ERR550513.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAGOTS_GN5CEEB03.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAGOTS_GN5CEEB03.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550513	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550513		TARA_A100000556	TARA_20091118T1352Z_023_EVENT_NET_N1+N2_D_(48-52m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000556	SAMEA2624976	ERS478011	SV Tara	TARA_20091111Z	TARA_023	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	TARA_20091118T1352Z_023_EVENT_NET	2009-11-18T13:52	42.1694	17.7179	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	20.0	180.00	TARA_023_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091118T1352Z_023_EVENT_NET_DCM_(50m)_SEQ-(500mL-or-15min)_N20-180_A100000556	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.689455986022901	15.270461	16.472071	0.001387878	9e-09	0.001431253	0.000150328	0.027064617000000003	0.003793177	0.07747148200000001	0.016672718			18.4584	0.641177758		468.41900000000004				-1183.0	42.6945	17.7	57.9209	1.6569999999999998	4.9084e-05	-11.278648	4.980596	-0.35477600000000004	0.078584	3.583333	18.737291	41.277317	11		
835	PRJEB6609	SAMEA2624983	ERS478034	ERX509608	ERR550515	408172	marine metagenome	454 GS FLX Titanium	SINGLE	24939	11503061	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_3.GAC.ARD_AALOTS_GOKCVWY03	6429325	b38b3639d832cd7ea1487b44f284ead6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550515/ERR550515.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AALOTS_GOKCVWY03.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AALOTS_GOKCVWY03.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550515	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550515		TARA_A100001647	TARA_20091215T1113Z_030_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100001647	SAMEA2624983	ERS478034	SV Tara	TARA_20091214Z	TARA_030	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	TARA_20091215T1113Z_030_EVENT_NET	2009-12-15T11:13	33.9178	32.8849	[SRF] surface water layer (ENVO:00010504)	5	3	7	20.0	180.00	TARA_030_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1113Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_A100001647	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	late	descending	0.01	day	595	23.949686	16.531906	15.097046375274699	19.247953		0.001388157	3e-09	0.003270233	0.00015937200000000002	0.034886073	0.002192435	0.054155687	0.013007748000000001		0.0782722160220146	15.6134	1.6239738430000001		288.505	0.163732342422009	36.4045867919922	0.00019103868817183	-1497.0	34.5667	32.9974	72.8349	0.24369000000000002	2.685e-06	0.659967	7.476779	-0.30954899999999996	0.097233	2.777778	33.301831	31.795508	96	32.405221000000004	33.71975
836	PRJEB6609	SAMEA2624979	ERS478009	ERX509587	ERR550516	408172	marine metagenome	454 GS FLX Titanium	SINGLE	44994	15998777	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_3.GAC.ARD_AACOTM_GSC5JTA03.RLMID2	8483433	158b98df8b12440fa8025fc98f93cbd3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550516/ERR550516.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AACOTM_GSC5JTA03.RLMID2.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AACOTM_GSC5JTA03.RLMID2.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550516	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550516		TARA_A100000550	TARA_20091118T1256Z_023_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000550	SAMEA2624979	ERS478009	SV Tara	TARA_20091111Z	TARA_023	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	TARA_20091118T1256Z_023_EVENT_NET	2009-11-18T12:56	42.1735	17.7175	[SRF] surface water layer (ENVO:00010504)	5	3	7	20.0	180.00	TARA_023_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091118T1256Z_023_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_A100000550	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.689455986022901	15.270461	16.472071	0.001387878	9e-09	0.001431253	0.000150328	0.027064617000000003	0.003793177	0.07747148200000001	0.016672718			18.4584	0.641177758		468.41900000000004				-1183.0	42.6945	17.7	57.9209	1.6569999999999998	4.9084e-05	-11.278648	4.980596	-0.35477600000000004	0.078584	3.583333	18.737291	41.277317	11		
838	PRJEB6609	SAMEA2624982	ERS477997	ERX509589	ERR550518	408172	marine metagenome	454 GS FLX Titanium	SINGLE	32386	13858183	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_8.GAC.ARD_AADOTS_GM5324408	8147680	99962e6e16e5488d8f2cfff7df954112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550518/ERR550518.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AADOTS_GM5324408.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AADOTS_GM5324408.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550518	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550518		TARA_A100000549	TARA_20091118T1017Z_023_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100000549	SAMEA2624982	ERS477997	SV Tara	TARA_20091111Z	TARA_023	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	TARA_20091118T1017Z_023_EVENT_NET	2009-11-18T10:17	42.1916	17.7175	[SRF] surface water layer (ENVO:00010504)	5	3	7	180.0	2000.00	TARA_023_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20091118T1017Z_023_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_A100000549	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.726818561554001	15.270461	16.472071	0.001387878	9e-09	0.001431253	0.000150328	0.027064617000000003	0.003793177	0.07747148200000001	0.016672718		0.24109263718128196	20.5852	0.641177758		468.41900000000004	0.239324897527695			-1184.0	42.6945	17.7	54.4621	1.6157	7.0863e-05	-11.278648	4.980596	-0.35477600000000004	0.078584	3.583333	18.737291	41.277317	11		
840	PRJEB6609	SAMEA2624977	ERS478039	ERX509598	ERR550520	408172	marine metagenome	454 GS FLX Titanium	SINGLE	17818	7536101	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_1.GAC.ARD_AAQOTS_GP1RK7S01	4164642	40c2df27e3af15a1a75945e213f004bd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550520/ERR550520.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAQOTS_GP1RK7S01.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAQOTS_GP1RK7S01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550520	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550520		TARA_A100001645	TARA_20091215T1305Z_030_EVENT_NET_N1+N2_D_(68-72m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100001645	SAMEA2624977	ERS478039	SV Tara	TARA_20091214Z	TARA_030	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	TARA_20091215T1305Z_030_EVENT_NET	2009-12-15T13:05	33.9189	32.8532	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	68	72	20.0	180.00	TARA_030_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1305Z_030_EVENT_NET_DCM_(70m)_SEQ-(500mL-or-15min)_N20-180_A100001645	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	late	descending	0.01	day	595	23.949686	16.531906	15.4028697013855	19.247953	20.266435	0.001388157	3e-09	0.003270233	0.00015937200000000002	0.034886073	0.002192435	0.054155687	0.013007748000000001		0.0823292136192322	17.3203	1.6239738430000001		291.834	0.160951308906078	37.4796714782715	0.00019103868817183	-1452.0	34.5667	32.9974	73.67	0.2747	2.95e-06	0.659967	7.476779	-0.30954899999999996	0.097233	2.777778	33.301831	31.795508	96	32.405221000000004	33.71975
842	PRJEB6609	SAMEA2624979	ERS478009	ERX509597	ERR550522	408172	marine metagenome	454 GS FLX Titanium	SINGLE	13941	5786529	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_5.GAC.ARD_AACOTS_GN5CEEB05	3432716	6c87cc8ec37c4738ad69a12250204942	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550522/ERR550522.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AACOTS_GN5CEEB05.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AACOTS_GN5CEEB05.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550522	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550522		TARA_A100000550	TARA_20091118T1256Z_023_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000550	SAMEA2624979	ERS478009	SV Tara	TARA_20091111Z	TARA_023	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	TARA_20091118T1256Z_023_EVENT_NET	2009-11-18T12:56	42.1735	17.7175	[SRF] surface water layer (ENVO:00010504)	5	3	7	20.0	180.00	TARA_023_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091118T1256Z_023_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_A100000550	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.689455986022901	15.270461	16.472071	0.001387878	9e-09	0.001431253	0.000150328	0.027064617000000003	0.003793177	0.07747148200000001	0.016672718			18.4584	0.641177758		468.41900000000004				-1183.0	42.6945	17.7	57.9209	1.6569999999999998	4.9084e-05	-11.278648	4.980596	-0.35477600000000004	0.078584	3.583333	18.737291	41.277317	11		
843	PRJEB6609	SAMEA2624981	ERS478013	ERX509593	ERR550523	408172	marine metagenome	454 GS FLX Titanium	SINGLE	19254	8759210	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_1.GAC.ARD_AAHOTS_GN5CEEB01	5105671	9025c7ffd67a8a78911a3c572ccc5586	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550523/ERR550523.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAHOTS_GN5CEEB01.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAHOTS_GN5CEEB01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550523	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550523		TARA_A100000557	TARA_20091118T1632Z_023_EVENT_NET_N1+N2_D_(48-52m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100000557	SAMEA2624981	ERS478013	SV Tara	TARA_20091111Z	TARA_023	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	TARA_20091118T1632Z_023_EVENT_NET	2009-11-18T16:32	42.1646	17.736	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	180.0	2000.00	TARA_023_DCM_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20091118T1632Z_023_EVENT_NET_DCM_(50m)_SEQ-(500mL-or-15min)_N180-2000_A100000557	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.689455986022901	15.270461	16.0684	0.001387878	9e-09	0.001431253	0.000150328	0.027064617000000003	0.003793177	0.07747148200000001	0.016672718			13.5727	0.641177758		468.41900000000004				-1183.0	42.5493	18.2333	60.1527	1.6488	5.1331e-05	-11.278648	4.980596	-0.35477600000000004	0.078584	3.583333	18.737291	41.277317	11		
844	PRJEB6609	SAMEA2591095	ERS477990	ERX509604	ERR550524	408172	marine metagenome	454 GS FLX Titanium	SINGLE	17179	7094217	454 GS FLX Titanium sequencing; Marine metagenome	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_8.GAC.ARD_AAAOTS_GPQPZZ008	4394897	dbf76c6dbbd673596159117cc6cb3703	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550524/ERR550524.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAAOTS_GPQPZZ008.sff	ftp.sra.ebi.ac.uk/vol1/ERA323/ERA323266/sff/ARD_AAAOTS_GPQPZZ008.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550524	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550524		TARA_A100000552	TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_A100000552	SAMEA2591095	ERS477990	SV Tara	TARA_20091111Z	TARA_023	High Volume Peristaltic Pump	TARA_20091118T0841Z_023_EVENT_PUMP	2009-11-18T08:41	42.2038	17.715	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5.00	TARA_023_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20091118T0841Z_023_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_A100000552	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	0	1	365	365	autumn	middle	ascending	0.03	day	582	20.28741	15.6349	15.7235631942749	15.270461	16.472071	0.001387878	9e-09	0.001431253	0.000150328	0.027064617000000003	0.003793177	0.07747148200000001	0.016672718			20.5852	0.641177758		468.41900000000004	0.22476544231176399			-1184.0	42.6945	17.7	54.4621	1.6157	7.0863e-05	-11.278648	4.980596	-0.35477600000000004	0.078584	3.583333	18.737291	41.277317	11		
