Sub_region	Depth_sizefrac	ERR_count	ERR_list	Assembly_group
IO-all	SRF-180-2000.00	21	ERR1700889, ERR1700906, ERR1700907, ERR1700909, ERR1726531, ERR1726538, ERR1726614, ERR1726649, ERR1726651, ERR1726652, ERR1726674, ERR1726734, ERR1726794, ERR1726809, ERR1726814, ERR1726820, ERR1726934, ERR1726978, ERR599247, ERR599294, ERR599312	IO-all-SRF-180-2000.00
IO-all	SRF-5-20.00	12	ERR1700890, ERR1700899, ERR1726575, ERR1726677, ERR1726697, ERR1726784, ERR1726854, ERR1726921, ERR1726974, ERR599218, ERR599222, ERR599282	IO-all-SRF-5-20.00
NAO-all	DCM-5-20.00	5	ERR1700891, ERR1700900, ERR1700908, ERR1726551, ERR1726684	NAO-all-DCM-5-20.00
IO-all	ZZZ-0.8-5.00	6	ERR1700892, ERR1726582, ERR1726591, ERR1726862, ERR1726908, ERR1726940	IO-all-ZZZ-0.8-5.00
NAO-all	SRF-5-20.00	11	ERR1700893, ERR1700902, ERR1726534, ERR1726542, ERR1726547, ERR1726548, ERR1726703, ERR1726772, ERR1726847, ERR1726861, ERR1726973	NAO-all-SRF-5-20.00
MS-all	DCM-5-20.00	7	ERR1700894, ERR1700913, ERR1726585, ERR1726715, ERR538172, ERR538181, ERR538188	MS-all-DCM-5-20.00
MS-all	SRF-5-20.00	9	ERR1700895, ERR1700896, ERR1726540, ERR1726555, ERR1726722, ERR1726929, ERR538178, ERR538184, ERR538190	MS-all-SRF-5-20.00
SAO-all	SRF-5-20.00	12	ERR1700898, ERR1726626, ERR1726881, ERR1726969, ERR599204, ERR599208, ERR599223, ERR599232, ERR599241, ERR599250, ERR599295, ERR599332	SAO-all-SRF-5-20.00
IO-all	DCM-5-20.00	6	ERR1700904, ERR1700912, ERR1726665, ERR599205, ERR599215, ERR599226	IO-all-DCM-5-20.00
NPO-all	SRF-5-20.00	13	ERR1700910, ERR1726559, ERR1726640, ERR1726669, ERR1726702, ERR1726723, ERR1726792, ERR1726805, ERR1726849, ERR1726871, ERR1726886, ERR1726888, ERR1726924	NPO-all-SRF-5-20.00
IO-all	SRF-20-180.00	17	ERR1700914, ERR1726587, ERR1726599, ERR1726611, ERR1726644, ERR1726646, ERR1726726, ERR1726728, ERR1726729, ERR1726800, ERR1726808, ERR1726844, ERR1726951, ERR1726979, ERR599314, ERR599320, ERR599321	IO-all-SRF-20-180.00
NPO-all	DCM-0.8-5.00	15	ERR1726523, ERR1726570, ERR1726724, ERR1726760, ERR1726845, ERR1726848, ERR868346, ERR868385, ERR868386, ERR868398, ERR868427, ERR868450, ERR868464, ERR868472, ERR868492	NPO-all-DCM-0.8-5.00
IO-all	DCM-180-2000.00	12	ERR1726526, ERR1726686, ERR1726696, ERR1726746, ERR1726798, ERR1726804, ERR1726813, ERR1726843, ERR1726868, ERR1726920, ERR599244, ERR599249	IO-all-DCM-180-2000.00
NAO-all	DCM-20-180.00	4	ERR1726529, ERR1726852, ERR1726893, ERR1726911	NAO-all-DCM-20-180.00
SAO-all	DCM-5-20.00	8	ERR1726530, ERR1726780, ERR1726906, ERR599221, ERR599229, ERR599231, ERR599317, ERR599329	SAO-all-DCM-5-20.00
NAO-all	MIX-180-2000.00	2	ERR1726532, ERR1726941	NAO-all-MIX-180-2000.00
NPO-all	SRF-180-2000.00	12	ERR1726536, ERR1726619, ERR1726738, ERR1726747, ERR1726766, ERR1726776, ERR1726782, ERR1726789, ERR1726797, ERR1726823, ERR1726923, ERR1726935	NPO-all-SRF-180-2000.00
RS-all	DCM-180-2000.00	3	ERR1726537, ERR1726578, ERR1726905	RS-all-DCM-180-2000.00
NPO-all	DCM-180-2000.00	6	ERR1726539, ERR1726650, ERR1726796, ERR1726818, ERR1726930, ERR1726966	NPO-all-DCM-180-2000.00
NAO-all	MIX-5-20.00	2	ERR1726545, ERR1726756	NAO-all-MIX-5-20.00
MS-all	SRF-20-180.00	13	ERR1726546, ERR1726613, ERR1726642, ERR1726660, ERR1726673, ERR1726675, ERR1726791, ERR1726870, ERR1726956, ERR1726976, ERR538171, ERR538183, ERR538189	MS-all-SRF-20-180.00
IO-all	SRF-0.8-5.00	20	ERR1726549, ERR1740328, ERR599210, ERR599266, ERR599280, ERR868355, ERR868391, ERR868396, ERR868397, ERR868399, ERR868406, ERR868408, ERR868428, ERR868452, ERR868478, ERR868486, ERR868498, ERR868503, ERR868507, ERR868508	IO-all-SRF-0.8-5.00
