Sub_region	Depth_sizefrac	ERR_count	ERR_list	Assembly_group
SAO-all	SRF-0.8-5.00	32	ERR1007415, ERR1007416, ERR1711906, ERR1711908, ERR1711924, ERR1711966, ERR1711967, ERR1712031, ERR1712046, ERR1712070, ERR1712086, ERR1712094, ERR1712127, ERR1712153, ERR1712205, ERR1712216, ERR1712220, ERR1712231, ERR1719149, ERR1719253, ERR1719287, ERR1719344, ERR1719424, ERR1719446, ERR1719451, ERR1719475, ERR1719484, ERR1719486, ERR1740125, ERR1740126, ERR1740127, ERR1740138	SAO-all-SRF-0.8-5.00
SAO-all	DCM-0.8-5.00	16	ERR1007417, ERR1007418, ERR1711887, ERR1711935, ERR1711959, ERR1711970, ERR1712021, ERR1712057, ERR1719269, ERR1719271, ERR1719352, ERR1719407, ERR1719482, ERR1719504, ERR1739841, ERR1739843	SAO-all-DCM-0.8-5.00
SAO-all	SRF-5-20.00	18	ERR1013384, ERR1013385, ERR1711870, ERR1711948, ERR1711971, ERR1712039, ERR1712071, ERR1712085, ERR1712172, ERR1712191, ERR1712194, ERR1712217, ERR1719221, ERR1719291, ERR1719296, ERR1719416, ERR1719442, ERR1719517	SAO-all-SRF-5-20.00
MS-all	SRF-20-180.00	13	ERR1711860, ERR1711894, ERR1712016, ERR1712049, ERR1712052, ERR1712062, ERR1712140, ERR1719242, ERR550381, ERR550393, ERR550395, ERR550525, ERR550532	MS-all-SRF-20-180.00
IO-all	DCM-0.8-5.00	16	ERR1711861, ERR1711919, ERR1712017, ERR1712026, ERR1712138, ERR1712159, ERR1712164, ERR1712171, ERR1712188, ERR1712196, ERR1719240, ERR1719248, ERR1719274, ERR1719399, ERR1719421, ERR1719465	IO-all-DCM-0.8-5.00
SAO-all	DCM-20-180.00	12	ERR1711863, ERR1711956, ERR1711962, ERR1712001, ERR1712008, ERR1712180, ERR1719195, ERR1719325, ERR1739844, ERR1739846, ERR1740122, ERR1740129	SAO-all-DCM-20-180.00
NPO-all	MES-0.8-5.00	8	ERR1711864, ERR1711925, ERR1712000, ERR1712034, ERR1712058, ERR1712059, ERR1712098, ERR1712169	NPO-all-MES-0.8-5.00
SO-all	SRF-0.8-5.00	8	ERR1711865, ERR1712028, ERR1719157, ERR1719162, ERR1740115, ERR1740117, ERR1740130, ERR1740133	SO-all-SRF-0.8-5.00
IO-all	SRF-5-20.00	14	ERR1711866, ERR1711963, ERR1711976, ERR1712019, ERR1712048, ERR1712084, ERR1712107, ERR1712151, ERR1712154, ERR1712170, ERR1712187, ERR1712211, ERR1712213, ERR1712244	IO-all-SRF-5-20.00
IO-all	ZZZ-0.8-5.00	6	ERR1711868, ERR1711890, ERR1712080, ERR1712227, ERR1719392, ERR1719450	IO-all-ZZZ-0.8-5.00
IO-all	SRF-0.8-5.00	23	ERR1711871, ERR1711901, ERR1711907, ERR1711943, ERR1711968, ERR1712005, ERR1712023, ERR1712100, ERR1712146, ERR1712199, ERR1719152, ERR1719218, ERR1719261, ERR1719267, ERR1719284, ERR1719306, ERR1719378, ERR1719390, ERR1719408, ERR1719434, ERR1719488, ERR1719498, ERR1719502	IO-all-SRF-0.8-5.00
IO-all	SRF-180-2000.00	22	ERR1711872, ERR1711980, ERR1712035, ERR1712042, ERR1712131, ERR1712135, ERR1712136, ERR1712142, ERR1712145, ERR1712189, ERR1712198, ERR1712221, ERR1712234, ERR1712235, ERR1719259, ERR1719283, ERR1719334, ERR1719348, ERR1719374, ERR1719383, ERR1719423, ERR1719516	IO-all-SRF-180-2000.00
NPO-all	SRF-180-2000.00	15	ERR1711873, ERR1711889, ERR1711926, ERR1711973, ERR1712163, ERR1712240, ERR1719167, ERR1719202, ERR1719286, ERR1719300, ERR1719304, ERR1719342, ERR1719419, ERR1719494, ERR1719505	NPO-all-SRF-180-2000.00
MS-all	SRF-5-20.00	13	ERR1711874, ERR1711909, ERR1711910, ERR1711913, ERR1711936, ERR1711953, ERR1712063, ERR1712137, ERR1712179, ERR550384, ERR550389, ERR550394, ERR550398	MS-all-SRF-5-20.00
SAO-all	SRF-20-180.00	20	ERR1711876, ERR1712073, ERR1712079, ERR1712109, ERR1712129, ERR1712156, ERR1712204, ERR1712242, ERR1719225, ERR1719302, ERR1719319, ERR1719330, ERR1719340, ERR1719418, ERR1719464, ERR1719501, ERR1719509, ERR1719512, ERR1739838, ERR1739839	SAO-all-SRF-20-180.00
NPO-all	SRF-5-20.00	15	ERR1711877, ERR1711972, ERR1712014, ERR1712040, ERR1719168, ERR1719176, ERR1719227, ERR1719277, ERR1719282, ERR1719363, ERR1719373, ERR1719394, ERR1719480, ERR1719493, ERR1719499	NPO-all-SRF-5-20.00
IO-all	SRF-20-180.00	18	ERR1711878, ERR1711893, ERR1711978, ERR1712011, ERR1712012, ERR1712044, ERR1712045, ERR1712092, ERR1712122, ERR1712209, ERR1719210, ERR1719251, ERR1719322, ERR1719346, ERR1719349, ERR1719351, ERR1719384, ERR1719461	IO-all-SRF-20-180.00
IO-all	FSW-0.8-5.00	4	ERR1711880, ERR1711916, ERR1711991, ERR1712065	IO-all-FSW-0.8-5.00
NPO-all	DCM-0.8-5.00	19	ERR1711881, ERR1711883, ERR1711903, ERR1711927, ERR1711981, ERR1712036, ERR1712072, ERR1712091, ERR1712132, ERR1712162, ERR1719158, ERR1719169, ERR1719281, ERR1719299, ERR1719335, ERR1719359, ERR1719377, ERR1719449, ERR1719456	NPO-all-DCM-0.8-5.00
SAO-all	DCM-180-2000.00	14	ERR1711888, ERR1711891, ERR1712106, ERR1712128, ERR1712215, ERR1712236, ERR1719315, ERR1719369, ERR1719427, ERR1719431, ERR1719435, ERR1719466, ERR1740116, ERR1740123	SAO-all-DCM-180-2000.00
SAO-all	SRF-180-2000.00	20	ERR1711892, ERR1711899, ERR1712123, ERR1712223, ERR1719153, ERR1719154, ERR1719173, ERR1719180, ERR1719186, ERR1719234, ERR1719260, ERR1719268, ERR1719285, ERR1719357, ERR1719376, ERR1719452, ERR1719489, ERR1719508, ERR1740119, ERR1740128	SAO-all-SRF-180-2000.00
NPO-all	DCM-180-2000.00	10	ERR1711895, ERR1712082, ERR1712112, ERR1712114, ERR1712120, ERR1712239, ERR1719228, ERR1719292, ERR1719318, ERR1719470	NPO-all-DCM-180-2000.00
MS-all	DCM-0.8-5.00	12	ERR1711896, ERR1711898, ERR1712075, ERR1712097, ERR1712139, ERR1712167, ERR1719303, ERR1719473, ERR550390, ERR550400, ERR550514, ERR550537	MS-all-DCM-0.8-5.00
MS-all	SRF-180-2000.00	16	ERR1711905, ERR1711911, ERR1711922, ERR1711946, ERR1711947, ERR1712090, ERR1712105, ERR1712200, ERR1712208, ERR1712237, ERR550382, ERR550385, ERR550399, ERR550401, ERR550517, ERR550534	MS-all-SRF-180-2000.00
NPO-all	SRF-0.8-5.00	26	ERR1711912, ERR1711975, ERR1711987, ERR1711988, ERR1712054, ERR1712149, ERR1712178, ERR1712193, ERR1719155, ERR1719171, ERR1719181, ERR1719185, ERR1719230, ERR1719235, ERR1719241, ERR1719252, ERR1719257, ERR1719294, ERR1719313, ERR1719314, ERR1719372, ERR1719379, ERR1719387, ERR1719406, ERR1719441, ERR1719455	NPO-all-SRF-0.8-5.00
NAO-all	SRF-5-20.00	14	ERR1711915, ERR1711920, ERR1712004, ERR1712032, ERR1712047, ERR1712083, ERR1712087, ERR1712099, ERR1712113, ERR1712203, ERR1712222, ERR1712228, ERR1719203, ERR1719382	NAO-all-SRF-5-20.00
MS-all	SRF-0.8-5.00	16	ERR1711918, ERR1711932, ERR1711995, ERR1711998, ERR1712006, ERR1712022, ERR1712185, ERR1719164, ERR1719224, ERR1719231, ERR1719453, ERR550386, ERR550396, ERR550403, ERR550404, ERR550521	MS-all-SRF-0.8-5.00
IO-all	DCM-180-2000.00	10	ERR1711921, ERR1711931, ERR1711955, ERR1712002, ERR1712033, ERR1712121, ERR1712126, ERR1712133, ERR1712168, ERR1712243	IO-all-DCM-180-2000.00
NAO-all	SRF-180-2000.00	16	ERR1711928, ERR1712116, ERR1712212, ERR1719177, ERR1719193, ERR1719209, ERR1719233, ERR1719239, ERR1719280, ERR1719289, ERR1719370, ERR1719397, ERR1719402, ERR1719425, ERR1719474, ERR1719495	NAO-all-SRF-180-2000.00
NPO-all	DCM-5-20.00	10	ERR1711930, ERR1711979, ERR1712050, ERR1712066, ERR1719188, ERR1719190, ERR1719226, ERR1719436, ERR1719476, ERR1719497	NPO-all-DCM-5-20.00
NAO-all	MIX-0.8-5.00	14	ERR1711934, ERR1712010, ERR1719174, ERR1719178, ERR1719182, ERR1719201, ERR1719247, ERR1719305, ERR1719398, ERR1719417, ERR1719426, ERR1719460, ERR1719472, ERR1719506	NAO-all-MIX-0.8-5.00
NAO-all	DCM-0.8-5.00	6	ERR1711939, ERR1712230, ERR1719337, ERR1719371, ERR1719467, ERR1719507	NAO-all-DCM-0.8-5.00
NPO-all	SRF-20-180.00	13	ERR1711940, ERR1712027, ERR1712117, ERR1712143, ERR1719166, ERR1719179, ERR1719200, ERR1719208, ERR1719270, ERR1719336, ERR1719422, ERR1719471, ERR1719485	NPO-all-SRF-20-180.00
IO-all	DCM-20-180.00	14	ERR1711944, ERR1711950, ERR1712018, ERR1712024, ERR1712053, ERR1712173, ERR1719255, ERR1719323, ERR1719328, ERR1719411, ERR1719414, ERR1719415, ERR1719429, ERR1719511	IO-all-DCM-20-180.00
IO-all	DCM-5-20.00	8	ERR1711945, ERR1711996, ERR1712064, ERR1712125, ERR1712130, ERR1712229, ERR1712232, ERR1712233	IO-all-DCM-5-20.00
SO-all	DCM-5-20.00	2	ERR1711957, ERR1712160	SO-all-DCM-5-20.00
NAO-all	MES-0.8-5.00	2	ERR1711960, ERR1711969	NAO-all-MES-0.8-5.00
MS-all	DCM-180-2000.00	6	ERR1711984, ERR1712030, ERR1712074, ERR1712148, ERR550378, ERR550519	MS-all-DCM-180-2000.00
